Fid,Age,Gender,Street,City,Latitude,Longitude,Community,Followers,Retweets,Likes,Unlikes,Label
10.42.0.211-10.42.0.1-6225-53-17,62,Female,487 Borland Street,Williams Lake,52.129652,-122.139615,Neighbourhood,1077,38,77,17,0
10.42.0.1-10.42.0.42-53-44053-17,69,Male,850 10th Avenue,Invermere,50.506441,-116.032224,Education,146,25,103,17,0
10.42.0.151-124.195.3.20-39950-80-6,80,Female,850 10th Avenue,Invermere,50.506441,-116.032224,Sports,167,56,61,16,0
10.42.0.42-119.146.74.33-40534-443-6,64,Female,850 10th Avenue,Invermere,50.506441,-116.032224,Politics,356,38,35,16,0
172.217.12.195-10.42.0.211-443-38856-6,37,Male,850 10th Avenue,Invermere,50.506441,-116.032224,Business,277,25,77,16,0
180.149.136.194-10.42.0.211-443-42463-6,67,Female,850 10th Avenue,Invermere,50.506441,-116.032224,Neighbourhood,172,19,49,16,0
10.42.0.211-10.42.0.1-4905-53-17,60,Male,850 10th Avenue,Invermere,50.506441,-116.032224,Politics,218,14,61,16,0
202.77.129.150-10.42.0.211-80-53584-6,50,Female,850 10th Avenue,Invermere,50.506441,-116.032224,Business,217,30,61,16,0
180.149.153.216-10.42.0.151-80-47583-6,53,Male,850 10th Avenue,Invermere,50.506441,-116.032224,Neighbourhood,67,55,61,10,1
172.217.12.195-10.42.0.211-443-54402-6,67,Female,243 16th Avenue N,Creston,49.097769,-116.507203,Education,291,55,61,10,0
216.58.217.132-10.42.0.42-443-50402-6,54,Male,243 16th Avenue N,Creston,49.097769,-116.507203,Education,248,50,173,10,1
175.100.207.231-10.42.0.211-80-55889-6,56,Male,243 16th Avenue N,Creston,49.097769,-116.507203,Sports,256,81,109,20,1
172.217.10.97-10.42.0.42-443-49713-6,53,Male,243 16th Avenue N,Creston,49.097769,-116.507203,Politics,286,85,47,20,1
172.217.3.99-10.42.0.151-443-52390-6,54,Female,243 16th Avenue N,Creston,49.097769,-116.507203,Music,477,85,47,20,0
172.217.11.10-10.42.0.151-443-47006-6,82,Female,243 16th Avenue N,Creston,49.097769,-116.507203,Sports,611,45,101,20,0
209.10.120.26-10.42.0.211-80-52735-6,65,Male,243 16th Avenue N,Creston,49.097769,-116.507203,Politics,471,68,109,10,1
172.217.3.110-10.42.0.42-443-37229-6,71,Female,243 16th Avenue N,Creston,49.097769,-116.507203,Business,381,64,89,13,0
222.73.28.96-10.42.0.151-80-33526-6,57,Female,311 Railway Avenue,Salmo,49.19538,-117.278538,Neighbourhood,251,70,13,10,1
219.142.78.162-10.42.0.211-80-52991-6,51,Male,311 Railway Avenue,Salmo,49.19538,-117.278538,Education,408,42,47,11,0
10.42.0.151-14.29.93.254-59281-80-6,55,Male,311 Railway Avenue,Salmo,49.19538,-117.278538,Sports,287,65,109,13,0
180.149.136.194-10.42.0.151-80-56094-6,60,Female,311 Railway Avenue,Salmo,49.19538,-117.278538,Politics,322,67,109,13,0
10.42.0.42-117.121.27.11-38791-80-6,60,Female,311 Railway Avenue,Salmo,49.19538,-117.278538,Business,216,21,47,13,1
10.42.0.211-74.217.63.66-35692-443-6,71,Female,311 Railway Avenue,Salmo,49.19538,-117.278538,Neighbourhood,366,70,109,10,1
172.217.6.234-10.42.0.211-443-51084-6,33,Female,311 Railway Avenue,Salmo,49.19538,-117.278538,Politics,210,52,27,22,0
151.101.21.140-10.42.0.211-443-45853-6,59,Male,311 Railway Avenue,Salmo,49.19538,-117.278538,Business,288,80,13,14,0
10.42.0.211-10.42.0.1-58230-53-17,62,Male,7441 2nd Street,Grand Forks,49.034228,-118.438175,Neighbourhood,168,90,93,22,0
173.222.142.156-10.42.0.211-443-32972-6,28,Female,7441 2nd Street,Grand Forks,49.034228,-118.438175,Education,132,56,35,19,1
172.217.12.205-10.42.0.151-443-53176-6,43,Male,7441 2nd Street,Grand Forks,49.034228,-118.438175,Neighbourhood,64,64,51,19,0
10.42.0.211-103.7.30.118-33203-80-6,54,Male,7441 2nd Street,Grand Forks,49.034228,-118.438175,Politics,209,45,61,19,1
10.42.0.211-10.42.0.1-33726-53-17,49,Female,7441 2nd Street,Grand Forks,49.034228,-118.438175,Business,410,49,51,19,0
220.243.219.55-10.42.0.211-80-58518-6,61,Female,7441 2nd Street,Grand Forks,49.034228,-118.438175,Neighbourhood,177,22,39,15,0
10.42.0.211-125.39.133.40-50444-80-6,61,Male,7441 2nd Street,Grand Forks,49.034228,-118.438175,Education,580,60,51,11,0
10.42.0.211-104.208.28.54-53580-443-6,62,Male,7441 2nd Street,Grand Forks,49.034228,-118.438175,Sports,165,56,51,21,0
209.10.120.26-10.42.0.211-80-33938-6,59,Male,333 Victoria Street,Nelson,49.490375,-117.295536,Politics,127,41,47,11,0
192.229.173.173-10.42.0.211-80-34747-6,52,Male,333 Victoria Street,Nelson,49.490375,-117.295536,Music,357,72,51,11,0
172.217.12.129-10.42.0.151-443-51978-6,54,Female,333 Victoria Street,Nelson,49.490375,-117.295536,Sports,175,37,17,19,0
10.42.0.211-123.125.29.220-60519-80-6,67,Female,333 Victoria Street,Nelson,49.490375,-117.295536,Politics,300,42,3,19,0
10.42.0.211-104.244.43.3-50356-443-6,67,Male,333 Victoria Street,Nelson,49.490375,-117.295536,Business,136,50,63,19,1
10.42.0.211-96.7.201.51-51333-443-6,79,Female,333 Victoria Street,Nelson,49.490375,-117.295536,Neighbourhood,125,70,45,19,1
10.42.0.211-10.42.0.1-22504-53-17,64,Female,333 Victoria Street,Nelson,49.490375,-117.295536,Education,189,81,91,17,1
10.42.0.1-10.42.0.42-53-40981-17,60,Female,333 Victoria Street,Nelson,49.490375,-117.295536,Sports,213,40,3,18,1
10.42.0.211-10.42.0.1-30959-53-17,47,Female,97 1st Avenue NE,Nakusp,50.238724,-117.794638,Politics,238,48,101,17,0
180.76.175.73-10.42.0.42-80-34981-6,48,Male,97 1st Avenue NE,Nakusp,50.238724,-117.794638,Education,124,40,13,16,1
10.42.0.151-121.12.98.63-42062-80-6,55,Female,97 1st Avenue NE,Nakusp,50.238724,-117.794638,Sports,18,16,101,11,1
10.42.0.211-10.42.0.1-47444-53-17,60,Male,97 1st Avenue NE,Nakusp,50.238724,-117.794638,Politics,730,16,101,11,0
173.241.242.143-10.42.0.42-443-52397-6,32,Male,97 1st Avenue NE,Nakusp,50.238724,-117.794638,Music,40,56,101,10,1
183.79.250.123-10.42.0.211-443-48385-6,62,Male,97 1st Avenue NE,Nakusp,50.238724,-117.794638,Sports,181,25,17,10,0
157.240.18.15-10.42.0.42-443-37832-6,55,Male,97 1st Avenue NE,Nakusp,50.238724,-117.794638,Politics,79,45,19,10,1
172.217.10.238-10.42.0.151-443-35540-6,70,Female,97 1st Avenue NE,Nakusp,50.238724,-117.794638,Business,142,90,77,21,1
180.149.136.194-10.42.0.42-80-46072-6,68,Female,126 King Street,Kamloops,50.690924,-120.360736,Neighbourhood,389,87,29,21,1
10.42.0.151-10.42.0.1-5747-53-17,53,Male,126 King Street,Kamloops,50.690924,-120.360736,Education,702,72,41,21,1
172.217.10.99-10.42.0.151-443-37332-6,49,Male,126 King Street,Kamloops,50.690924,-120.360736,Sports,151,75,33,21,1
198.105.244.11-10.42.0.151-80-53809-6,59,Male,126 King Street,Kamloops,50.690924,-120.360736,Politics,211,75,33,21,1
10.42.0.211-66.102.255.61-32943-443-6,66,Male,126 King Street,Kamloops,50.690924,-120.360736,Business,117,78,71,13,0
10.42.0.1-10.42.0.42-53-1921-17,57,Female,126 King Street,Kamloops,50.690924,-120.360736,Neighbourhood,232,71,101,10,0
180.149.139.248-10.42.0.211-443-57134-6,56,Male,126 King Street,Kamloops,50.690924,-120.360736,Politics,408,80,95,10,1
172.217.10.106-10.42.0.151-443-46948-6,29,Male,126 King Street,Kamloops,50.690924,-120.360736,Business,370,55,89,22,0
239.255.255.250-10.42.0.1-1900-38343-17,66,Female,1200 Newlands Road,Revelstoke,50.976799,-118.191902,Neighbourhood,179,17,13,22,0
172.217.11.14-10.42.0.211-443-50428-6,64,Male,1200 Newlands Road,Revelstoke,50.976799,-118.191902,Education,46,25,7,14,0
140.205.94.6-10.42.0.211-443-37317-6,60,Male,1200 Newlands Road,Revelstoke,50.976799,-118.191902,Neighbourhood,200,22,15,14,0
172.217.12.194-10.42.0.151-443-37018-6,65,Female,1200 Newlands Road,Revelstoke,50.976799,-118.191902,Politics,50,24,43,14,0
172.217.10.67-10.42.0.42-443-41724-6,56,Female,1200 Newlands Road,Revelstoke,50.976799,-118.191902,Business,181,55,7,14,0
10.42.0.151-10.42.0.1-39122-53-17,67,Male,1200 Newlands Road,Revelstoke,50.976799,-118.191902,Neighbourhood,119,58,7,14,0
10.42.0.211-123.125.29.138-41292-443-6,81,Female,1200 Newlands Road,Revelstoke,50.976799,-118.191902,Education,361,58,7,14,1
10.42.0.151-10.42.0.1-42901-53-17,23,Male,1200 Newlands Road,Revelstoke,50.976799,-118.191902,Sports,73,61,101,14,1
180.149.136.247-10.42.0.151-80-46797-6,65,Male,835 9th Avenue S,Golden,51.296527,-116.966604,Politics,67,80,7,14,1
172.217.10.138-10.42.0.211-443-49593-6,47,Female,835 9th Avenue S,Golden,51.296527,-116.966604,Music,350,78,7,14,0
172.217.3.99-10.42.0.151-443-45897-6,65,Male,835 9th Avenue S,Golden,51.296527,-116.966604,Sports,150,41,9,20,1
180.149.153.187-10.42.0.211-80-59881-6,55,Male,835 9th Avenue S,Golden,51.296527,-116.966604,Politics,332,35,9,12,0
198.11.190.7-10.42.0.211-443-46420-6,47,Female,835 9th Avenue S,Golden,51.296527,-116.966604,Business,611,82,7,11,1
10.42.0.211-66.198.24.250-47792-443-6,65,Female,835 9th Avenue S,Golden,51.296527,-116.966604,Neighbourhood,58,58,3,11,0
180.149.138.210-10.42.0.211-80-39246-6,63,Male,835 9th Avenue S,Golden,51.296527,-116.966604,Business,151,49,1,21,0
10.42.0.211-106.11.92.6-60751-443-6,37,Female,835 9th Avenue S,Golden,51.296527,-116.966604,Neighbourhood,89,80,19,18,0
10.42.0.1-10.42.0.42-53-5070-17,64,Female,200-235 Lansdowne Street,Kamloops,50.67668,-120.335827,Education,152,50,19,19,1
10.42.0.211-10.42.0.1-3325-53-17,56,Male,200-235 Lansdowne Street,Kamloops,50.67668,-120.335827,Sports,611,50,19,19,0
140.205.230.8-10.42.0.211-80-39677-6,69,Female,200-235 Lansdowne Street,Kamloops,50.67668,-120.335827,Politics,110,98,83,18,0
10.42.0.211-108.179.252.22-40715-80-6,60,Female,200-235 Lansdowne Street,Kamloops,50.67668,-120.335827,Business,463,78,57,18,0
10.42.0.211-106.39.169.66-49283-80-6,56,Male,200-235 Lansdowne Street,Kamloops,50.67668,-120.335827,Neighbourhood,962,36,83,13,1
172.217.9.232-10.42.0.211-443-53682-6,56,Male,200-235 Lansdowne Street,Kamloops,50.67668,-120.335827,Politics,102,85,33,12,1
10.42.0.42-125.39.133.40-44582-80-6,67,Female,200-235 Lansdowne Street,Kamloops,50.67668,-120.335827,Business,10,65,31,21,0
10.42.0.151-10.42.0.1-14392-53-17,46,Male,200-235 Lansdowne Street,Kamloops,50.67668,-120.335827,Neighbourhood,118,39,19,13,0
10.42.0.211-111.202.114.77-37529-443-6,60,Female,20 23rd Avenue S,Cranbrook,49.510746,-115.751151,Education,92,78,65,20,0
172.217.6.194-10.42.0.211-443-57001-6,45,Male,20 23rd Avenue S,Cranbrook,49.510746,-115.751151,Sports,143,28,5,20,1
10.42.0.42-62.138.0.117-56452-80-6,60,Male,20 23rd Avenue S,Cranbrook,49.510746,-115.751151,Politics,189,30,11,20,0
10.42.0.151-10.42.0.1-10986-53-17,40,Female,20 23rd Avenue S,Cranbrook,49.510746,-115.751151,Music,75,75,83,22,0
174.35.73.107-10.42.0.211-80-50071-6,59,Female,20 23rd Avenue S,Cranbrook,49.510746,-115.751151,Sports,189,60,115,17,0
10.42.0.211-10.42.0.1-2736-53-17,65,Female,20 23rd Avenue S,Cranbrook,49.510746,-115.751151,Politics,55,83,53,17,0
10.42.0.42-54.192.38.154-59603-443-6,57,Male,20 23rd Avenue S,Cranbrook,49.510746,-115.751151,Business,935,80,157,17,0
10.42.0.211-66.198.24.243-59071-80-6,71,Male,20 23rd Avenue S,Cranbrook,49.510746,-115.751151,Neighbourhood,56,62,105,17,0
10.42.0.211-63.250.200.101-45767-443-6,60,Male,260 4th Avenue,Kimberley,49.690106,-115.985778,Education,5,77,65,21,0
10.42.0.211-111.202.114.77-55852-443-6,54,Female,260 4th Avenue,Kimberley,49.690106,-115.985778,Sports,225,71,117,11,0
10.42.0.42-112.80.248.220-60503-443-6,65,Female,260 4th Avenue,Kimberley,49.690106,-115.985778,Politics,125,82,17,11,0
172.217.10.3-10.42.0.211-443-36993-6,43,Female,260 4th Avenue,Kimberley,49.690106,-115.985778,Business,286,82,17,11,0
203.205.158.63-10.42.0.42-80-58505-6,68,Male,260 4th Avenue,Kimberley,49.690106,-115.985778,Neighbourhood,206,58,117,11,0
10.42.0.211-10.42.0.1-33116-53-17,69,Female,260 4th Avenue,Kimberley,49.690106,-115.985778,Politics,164,80,157,22,1
183.3.235.80-10.42.0.211-80-60568-6,67,Female,260 4th Avenue,Kimberley,49.690106,-115.985778,Business,98,70,65,11,1
172.217.10.227-10.42.0.151-443-52475-6,44,Male,260 4th Avenue,Kimberley,49.690106,-115.985778,Neighbourhood,446,68,65,21,1
172.217.12.174-10.42.0.151-443-35272-6,59,Female,612 Park Drive,Clearwater,51.646934,-120.021686,Education,742,76,157,13,1
10.42.0.1-10.42.0.42-53-44321-17,64,Male,612 Park Drive,Clearwater,51.646934,-120.021686,Sports,120,80,157,13,1
10.42.0.42-123.125.29.220-44887-80-6,67,Female,612 Park Drive,Clearwater,51.646934,-120.021686,Politics,122,80,157,13,1
10.42.0.151-10.42.0.1-2013-53-17,26,Female,612 Park Drive,Clearwater,51.646934,-120.021686,Neighbourhood,362,80,157,13,1
172.217.11.2-10.42.0.211-443-42396-6,56,Male,612 Park Drive,Clearwater,51.646934,-120.021686,Politics,357,70,157,12,1
172.217.10.3-10.42.0.211-443-44538-6,74,Female,612 Park Drive,Clearwater,51.646934,-120.021686,Business,200,70,157,12,0
10.42.0.211-72.21.206.141-41829-443-6,65,Female,612 Park Drive,Clearwater,51.646934,-120.021686,Neighbourhood,107,66,65,15,1
222.73.28.96-10.42.0.211-80-34329-6,59,Female,612 Park Drive,Clearwater,51.646934,-120.021686,Education,267,42,157,15,1
10.42.0.1-10.42.0.42-53-18863-17,71,Female,575 Main Street,Lytton,50.694685,-121.93178,Sports,248,52,157,15,1
172.217.12.206-10.42.0.151-443-33005-6,65,Female,575 Main Street,Lytton,50.694685,-121.93178,Politics,215,72,157,15,1
151.101.1.140-10.42.0.211-443-43654-6,63,Female,575 Main Street,Lytton,50.694685,-121.93178,Music,209,65,107,16,1
172.217.9.238-10.42.0.211-443-55627-6,54,Female,575 Main Street,Lytton,50.694685,-121.93178,Sports,205,92,139,18,0
10.42.0.151-72.21.207.148-35487-443-6,58,Male,575 Main Street,Lytton,50.694685,-121.93178,Politics,261,98,251,18,1
10.42.0.211-36.110.213.49-35079-443-6,62,Female,575 Main Street,Lytton,50.694685,-121.93178,Business,83,92,291,18,1
172.217.3.106-10.42.0.211-443-46730-6,67,Male,575 Main Street,Lytton,50.694685,-121.93178,Neighbourhood,106,82,201,18,0
172.217.3.110-10.42.0.151-443-54580-6,54,Female,575 Main Street,Lytton,50.694685,-121.93178,Education,106,87,39,18,1
10.42.0.211-23.21.51.186-44530-443-6,44,Female,570 Pine Avenue,Sparwood,49.721453,-114.892672,Sports,108,90,439,18,1
10.42.0.151-54.164.117.181-33625-80-6,55,Female,570 Pine Avenue,Sparwood,49.721453,-114.892672,Politics,214,94,189,18,1
180.149.136.194-10.42.0.211-443-60205-6,42,Female,570 Pine Avenue,Sparwood,49.721453,-114.892672,Business,358,50,329,18,0
198.11.132.178-10.42.0.211-443-41230-6,58,Female,570 Pine Avenue,Sparwood,49.721453,-114.892672,Neighbourhood,453,78,29,18,1
224.0.0.251-10.42.0.42-5353-5353-17,54,Male,570 Pine Avenue,Sparwood,49.721453,-114.892672,Politics,364,85,61,17,1
10.42.0.211-104.192.110.245-59660-443-6,61,Female,570 Pine Avenue,Sparwood,49.721453,-114.892672,Business,136,48,291,16,1
10.42.0.211-10.42.0.1-13301-53-17,69,Female,570 Pine Avenue,Sparwood,49.721453,-114.892672,Neighbourhood,173,79,201,16,1
10.42.0.1-10.42.0.42-53-54342-17,62,Male,570 Pine Avenue,Sparwood,49.721453,-114.892672,Education,241,49,85,16,1
220.243.235.201-10.42.0.211-80-34995-6,80,Male,437 Martin Street,Penticton,49.496036,-119.592963,Neighbourhood,224,75,201,17,1
10.42.0.211-106.39.169.66-37810-80-6,73,Female,437 Martin Street,Penticton,49.496036,-119.592963,Politics,148,68,227,18,1
192.229.163.180-10.42.0.42-443-52284-6,76,Male,437 Martin Street,Penticton,49.496036,-119.592963,Business,230,95,309,18,1
10.42.0.211-104.88.106.16-42663-80-6,70,Female,437 Martin Street,Penticton,49.496036,-119.592963,Neighbourhood,199,75,439,18,1
10.42.0.211-64.71.142.124-46219-80-6,68,Male,437 Martin Street,Penticton,49.496036,-119.592963,Education,196,90,439,18,1
10.42.0.211-121.14.255.83-52602-80-6,45,Male,437 Martin Street,Penticton,49.496036,-119.592963,Sports,111,52,439,17,1
157.240.2.20-10.42.0.42-443-48725-6,70,Male,437 Martin Street,Penticton,49.496036,-119.592963,Politics,231,52,439,17,0
209.10.120.26-10.42.0.211-80-37839-6,68,Female,437 Martin Street,Penticton,49.496036,-119.592963,Music,316,79,439,17,1
182.22.67.75-10.42.0.151-443-35639-6,72,Female,673 A Avenue,Kaslo,49.913907,-116.914249,Sports,240,79,439,17,1
172.217.6.206-10.42.0.151-443-38326-6,58,Female,673 A Avenue,Kaslo,49.913907,-116.914249,Politics,669,50,315,17,1
172.217.11.46-10.42.0.151-443-42084-6,70,Male,673 A Avenue,Kaslo,49.913907,-116.914249,Business,425,77,439,17,1
202.77.129.185-10.42.0.211-80-54184-6,39,Male,673 A Avenue,Kaslo,49.913907,-116.914249,Neighbourhood,121,71,71,17,1
10.42.0.151-121.12.98.63-48528-80-6,74,Female,673 A Avenue,Kaslo,49.913907,-116.914249,Education,174,70,201,17,0
10.42.0.211-123.125.29.220-40670-80-6,62,Female,673 A Avenue,Kaslo,49.913907,-116.914249,Sports,88,88,405,17,1
172.217.6.234-10.42.0.151-443-41260-6,66,Male,673 A Avenue,Kaslo,49.913907,-116.914249,Politics,313,90,303,17,1
182.22.65.138-10.42.0.42-443-33691-6,52,Male,700 3rd Street,Keremeos,49.20453,-119.832676,Business,135,81,375,18,1
180.149.136.194-10.42.0.42-80-39375-6,59,Female,700 3rd Street,Keremeos,49.20453,-119.832676,Neighbourhood,152,78,157,18,0
219.142.78.162-10.42.0.42-80-60116-6,61,Male,700 3rd Street,Keremeos,49.20453,-119.832676,Politics,402,68,475,18,1
10.42.0.42-123.125.29.220-37384-80-6,66,Female,700 3rd Street,Keremeos,49.20453,-119.832676,Business,221,68,475,18,1
172.217.3.110-10.42.0.151-443-45096-6,62,Male,700 3rd Street,Keremeos,49.20453,-119.832676,Neighbourhood,213,68,475,18,1
10.42.0.1-10.42.0.42-42096-5351-17,45,Male,700 3rd Street,Keremeos,49.20453,-119.832676,Education,144,50,439,18,1
10.42.0.151-31.13.80.5-42704-443-6,62,Male,700 3rd Street,Keremeos,49.20453,-119.832676,Education,158,85,291,18,1
10.42.0.211-66.198.178.50-39720-443-6,69,Female,700 3rd Street,Keremeos,49.20453,-119.832676,Sports,220,95,65,18,1
10.42.0.211-74.217.63.52-53396-443-6,64,Female,612 Park Drive,Clearwater,51.646934,-120.021686,Politics,325,82,53,18,1
203.205.158.60-10.42.0.42-80-58919-6,1,Female,612 Park Drive,Clearwater,51.646934,-120.021686,Music,254,94,39,18,1
140.205.140.87-10.42.0.151-443-49254-6,81,Female,612 Park Drive,Clearwater,51.646934,-120.021686,Sports,503,94,39,18,1
10.42.0.151-10.42.0.1-61046-53-17,65,Female,20 23rd Avenue S,Cranbrook,49.510746,-115.751151,Politics,680,80,355,19,1
172.217.10.42-10.42.0.42-443-51436-6,70,Female,20 23rd Avenue S,Cranbrook,49.510746,-115.751151,Business,421,98,353,19,1
172.217.3.104-10.42.0.151-443-42567-6,65,Male,20 23rd Avenue S,Cranbrook,49.510746,-115.751151,Neighbourhood,130,85,291,19,1
180.149.134.141-10.42.0.151-80-41983-6,74,Female,126 King Street,Kamloops,50.690924,-120.360736,Education,164,99,181,19,1
182.254.5.234-10.42.0.42-80-36848-6,54,Male,126 King Street,Kamloops,50.690924,-120.360736,Sports,174,36,29,19,1
10.42.0.151-31.13.71.52-55032-80-6,68,Female,126 King Street,Kamloops,50.690924,-120.360736,Politics,113,40,453,18,1
10.42.0.211-52.73.105.117-60123-443-6,60,Female,505 Doyle Avenue,Kelowna,49.888762,-119.492542,Business,195,70,463,16,1
174.35.73.78-10.42.0.151-80-48265-6,77,Female,505 Doyle Avenue,Kelowna,49.888762,-119.492542,Neighbourhood,347,54,201,18,1
222.73.28.96-10.42.0.211-80-58375-6,33,Male,505 Doyle Avenue,Kelowna,49.888762,-119.492542,Politics,208,77,201,19,1
172.217.7.163-10.42.0.211-443-43924-6,72,Male,3451 Voght Street,Merritt,50.121147,-120.772808,Business,404,82,21,20,1
10.42.0.211-64.71.142.95-48799-443-6,56,Male,3451 Voght Street,Merritt,50.121147,-120.772808,Neighbourhood,396,73,439,19,1
172.217.11.8-10.42.0.211-443-52261-6,66,Female,333 Victoria Street,Nelson,49.490375,-117.295536,Education,98,72,439,18,1
220.243.235.201-10.42.0.151-80-41759-6,62,Female,333 Victoria Street,Nelson,49.490375,-117.295536,Neighbourhood,229,62,29,20,1
172.217.12.174-10.42.0.151-443-50305-6,70,Female,333 Victoria Street,Nelson,49.490375,-117.295536,Politics,350,64,227,20,1
183.79.248.252-10.42.0.151-443-34064-6,62,Male,740 Carmi Avenue,Penticton,49.482621,-119.575006,Business,88,59,453,20,1
10.42.0.151-10.42.0.1-63589-53-17,54,Male,740 Carmi Avenue,Penticton,49.482621,-119.575006,Neighbourhood,379,47,439,20,1
10.42.0.151-103.7.30.118-55618-80-6,75,Male,740 Carmi Avenue,Penticton,49.482621,-119.575006,Education,168,64,21,19,1
10.42.0.211-10.42.0.1-57640-53-17,68,Male,851 16th Street NE,Salmon Arm,50.705422,-119.268678,Sports,190,78,209,19,1
172.217.10.46-10.42.0.211-443-52910-6,55,Male,851 16th Street NE,Salmon Arm,50.705422,-119.268678,Politics,158,54,133,19,0
172.217.10.229-10.42.0.42-443-45259-6,56,Female,851 16th Street NE,Salmon Arm,50.705422,-119.268678,Music,210,75,353,19,1
10.42.0.211-103.235.46.39-54447-80-6,81,Female,1500 Columbia Avenue,Trail,49.098068,-117.70327,Sports,102,90,189,20,1
180.149.136.194-10.42.0.211-443-39349-6,62,Male,1500 Columbia Avenue,Trail,49.098068,-117.70327,Politics,306,85,211,20,1
239.255.255.250-10.42.0.151-1900-35299-17,59,Female,1500 Columbia Avenue,Trail,49.098068,-117.70327,Business,64,64,375,20,1
10.42.0.151-54.239.17.112-49839-443-6,59,Female,487 Borland Street,Williams Lake,52.129652,-122.139615,Neighbourhood,218,64,375,20,1
10.42.0.211-123.125.29.220-56071-80-6,62,Male,487 Borland Street,Williams Lake,52.129652,-122.139615,Education,77,101,91,20,1
172.217.1.162-10.42.0.211-443-47410-6,63,Male,487 Borland Street,Williams Lake,52.129652,-122.139615,Sports,54,60,29,13,1
10.42.0.211-104.192.108.27-42237-80-6,74,Male,707 10th Street,Castlegar,49.314742,-117.660589,Politics,344,60,303,13,1
10.42.0.211-98.139.199.205-49761-443-6,84,Female,707 10th Street,Castlegar,49.314742,-117.660589,Education,195,40,187,13,1
172.217.6.234-10.42.0.211-443-42346-6,50,Female,707 10th Street,Castlegar,49.314742,-117.660589,Sports,202,48,439,13,1
198.105.244.11-10.42.0.42-80-48386-6,61,Male,200-235 Lansdowne Street,Kamloops,50.67668,-120.335827,Politics,286,67,201,12,1
10.42.0.211-10.42.0.1-14580-53-17,68,Female,200-235 Lansdowne Street,Kamloops,50.67668,-120.335827,Music,278,73,141,13,1
140.205.134.25-10.42.0.42-443-36236-6,42,Male,200-235 Lansdowne Street,Kamloops,50.67668,-120.335827,Sports,189,73,141,13,1
10.42.0.1-10.42.0.42-53-7505-17,62,Female,555 Cedar Avenue S,100 Mile House,51.638711,-121.292384,Politics,83,98,485,13,1
172.217.10.78-10.42.0.42-443-42151-6,62,Male,555 Cedar Avenue S,100 Mile House,51.638711,-121.292384,Business,18,78,141,12,1
205.185.216.42-10.42.0.151-80-41148-6,74,Male,555 Cedar Avenue S,100 Mile House,51.638711,-121.292384,Neighbourhood,184,80,375,12,1
172.217.10.106-10.42.0.151-443-41606-6,63,Male,4936 Barriere Town Road,Barriere,51.189269,-120.133339,Education,235,48,51,11,1
172.217.7.227-10.42.0.211-443-45826-6,71,Female,4936 Barriere Town Road,Barriere,51.189269,-120.133339,Sports,290,65,185,12,1
172.217.9.234-10.42.0.211-443-46345-6,54,Male,4936 Barriere Town Road,Barriere,51.189269,-120.133339,Politics,133,23,375,12,1
10.42.0.151-23.199.25.36-48970-80-6,63,Male,97 1st Avenue NE,Nakusp,50.238827,-117.795233,Business,318,60,29,14,1
172.217.12.194-10.42.0.211-443-39699-6,73,Male,97 1st Avenue NE,Nakusp,50.238827,-117.795233,Neighbourhood,437,65,91,14,1
10.42.0.151-40.122.44.96-38113-443-6,64,Female,97 1st Avenue NE,Nakusp,50.238827,-117.795233,Politics,402,82,167,11,1
172.217.10.110-10.42.0.151-443-51292-6,60,Female,1440 14th Avenue,Vernon,50.251803,-119.248454,Business,501,72,467,11,1
172.217.12.195-10.42.0.42-80-57004-6,70,Male,1440 14th Avenue,Vernon,50.251803,-119.248454,Neighbourhood,1201,69,439,11,1
180.149.153.234-10.42.0.151-80-56040-6,49,Female,1440 14th Avenue,Vernon,50.251803,-119.248454,Education,1030,75,329,11,1
10.42.0.211-10.42.0.1-43039-53-17,68,Male,2196 Quilchena Avenue,Merritt,50.109078,-120.785467,Neighbourhood,253,85,349,11,1
10.42.0.211-54.192.38.171-56434-443-6,49,Female,2196 Quilchena Avenue,Merritt,50.109078,-120.785467,Politics,149,69,201,20,1
169.55.67.247-10.42.0.211-5222-60190-6,49,Male,209 16th Avenue N,Cranbrook,49.514524,-115.760123,Business,144,60,243,11,1
184.73.220.110-10.42.0.211-443-54566-6,56,Female,209 16th Avenue N,Cranbrook,49.514524,-115.760123,Neighbourhood,69,84,49,11,1
10.42.0.151-23.199.25.36-49000-80-6,72,Male,255 Lawrence Avenue,Kelowna,49.885258,-119.497908,Education,243,60,245,11,1
10.42.0.151-10.42.0.1-37548-53-17,64,Female,255 Lawrence Avenue,Kelowna,49.885258,-119.497908,Sports,769,85,27,11,1
10.42.0.211-108.174.10.10-35910-80-6,45,Female,433 Tranquille Road,Kamloops,50.690989,-120.359089,Politics,135,76,201,19,1
10.42.0.151-52.84.29.137-39491-443-6,49,Male,433 Tranquille Road,Kamloops,50.690989,-120.359089,Music,231,79,201,19,1
172.217.11.3-10.42.0.211-80-42078-6,61,Female,569 Seymour Street,Kamloops,50.674745,-120.327587,Sports,442,84,409,21,1
10.42.0.151-10.42.0.1-18500-53-17,67,Female,569 Seymour Street,Kamloops,50.674745,-120.327587,Politics,199,76,201,21,1
10.42.0.211-66.231.239.122-58315-80-6,43,Female,101 Baker Street,Nelson,49.490211,-117.299513,Business,455,76,201,21,1
172.217.10.110-10.42.0.151-443-38110-6,61,Female,101 Baker Street,Nelson,49.490211,-117.299513,Neighbourhood,152,50,245,20,1
